"112","AFF","United States Air Force Academy Airfield","Colorado Springs","United States","Colorado Springs, Colorado, United States"
"113","AFI","Amalfi Airport","Amalfi","Colombia","Amalfi, Colombia"
"114","AFL","Alta Floresta Airport","Alta Floresta","Brazil","Alta Floresta, Brazil"
"115","AFN","Jaffrey Airport - Silver Ranch Airpark","Jaffrey","United States","Jaffrey, New Hampshire, United States"
"116","AFO","Afton Municipal Airport","Afton","United States","Afton, Wyoming, United States"
"117","AFR","Afore Airport","Afore","Papua New Guinea","Afore, Papua New Guinea"
"118","AFT","Afutara Airport","Afutara","Solomon Islands","Afutara, Solomon Islands"
"119","AFW","Fort Worth Alliance Airport","Fort Worth","United States","Fort Worth, Texas, United States"
"120","AFY","Afyon Airport","Afyon","Turkey","Afyon, Turkey"
"121","AGA","Al Massira Airport","Agadir","Morocco","Agadir, Morocco"
"122","AGB","Augsburg Airport","Augsburg","Germany","Augsburg, Bavaria, Germany"
"123","AGC","Allegheny County Airport","Pittsburgh","United States","Pittsburgh, Pennsylvania, United States"
"124","AGD","Anggi Airport","Anggi","Indonesia","Anggi, Indonesia"
"125","AGE","Wangerooge Airport","Wangerooge","Germany","Wangerooge, Lower Saxony, Germany"
"126","AGF","Agen - La Garenne Aerodrome","Agen","France","Agen, France"
"127","AGG","Angorarn Airport","Angorarn","Papua New Guinea","Angorarn, Papua New Guinea"
"128","AGH","Ängelholm-Helsingborg Airport (former ICAO: ESDB)","Ängelholm","Sweden","Ängelholm, Sweden"
"129","AGI","Wageningen Airport","Wageningen","Suriname","Wageningen, Suriname"
"130","AGJ","Aguni Airport","Aguni","Japan","Aguni, Japan"
"131","AGK","Kagua Airport","Kagua","Papua New Guinea","Kagua, Papua New Guinea"
"132","AGL","Wanigela Airport","Wanigela","Papua New Guinea","Wanigela, Papua New Guinea"
"133","AGM","Tasiilaq Heliport","Tasiilaq","Greenland","Tasiilaq, Greenland"
"134","AGN","Angoon Seaplane Base","Angoon","United States","Angoon, Alaska, United States"
"135","AGO","Magnolia Municipal Airport","Magnolia","United States","Magnolia, Arkansas, United States"
"136","AGP","Pablo Ruiz Picasso Airport","Málaga","Spain","Málaga, Spain"
"137","AGQ","Agrinion Airport","Agrinion","Greece","Agrinion, Greece"
"138","AGR","Agra Airport/Agra Air Force Station","Agra","India","Agra, India"
"139","AGS","Augusta Regional Airport at Bush Field","Augusta","United States","Augusta, Georgia, United States"
"140","AGT","Guarani International Airport (Alejo Garcia Airport)","Ciudad del Este","Paraguay","Ciudad del Este, Paraguay"
"141","AGU","Lic. Jesús Terán Peredo International Airport","Aguascalientes","Mexico","Aguascalientes, Mexico"
"142","AGV","Oswaldo Guevara Mujica Airport","Acarigua","Venezuela","Acarigua, Venezuela"
"143","AGW","Agnew Airport","Agnew","Australia","Agnew, Queensland, Australia"
"144","AGX","Agatti Island Airport","Agatti Island","India","Agatti Island, India"
"145","AGY","Argyle Downs Airport","Argyle Downs","Australia","Argyle Downs, Western Australia, Australia"
"146","AGZ","Aggeneys Airport","Aggeneys","South Africa","Aggeneys, South Africa"
"147","AHB","Abha Regional Airport","Abha / Khamis Mushait","Saudi Arabia","Abha / Khamis Mushait, Saudi Arabia"
"148","AHC","Amedee Army Airfield","Herlong","California","Herlong, California"
"149","AHD","Ardmore Downtown Executive Airport (FAA: 1F0)","Ardmore","United States","Ardmore, Oklahoma, United States"
"150","AHE","Ahe Airport","Ahe","French Polynesia","Ahe, French Polynesia"
